Design,ER,MED,MRED,NMED (in 10^-3),Power,Delay (in ps),Power-NMED,Energy-NMED,EDP-NMED
HOERAA(K=6),99.71%,386.63,5.89,5.9,9.45E-07,298,,,
HOERAA(K=7),99.41%,193.69,5.17,2.96,1.11E-06,341,,,
HOERAA(K=8),98.83%,96.49,4.45,1.47,1.28E-06,384,,,
HOERAA(K=9),97.66%,48.16,3.73,0.73,1.44E-06,428,,,
HOERAA(K=10),95.31%,24.07,2.98,0.37,1.61E-06,471,,,
HOERAA(K=11),90.63%,11.83,2.25,0.18,1.78E-06,514,,,
HOERAA(K=12),81.25%,5.7,1.46,0.09,1.94E-06,557,,,
,,,,,,,,,
HERLOA(K=6),91.25%,346.69,5.88,5.29,,,,,
HERLOA(K=7),88.31%,173.44,5.17,2.65,,,,,
HERLOA(K=8),84.39%,86.26,4.45,1.32,,,,,
HERLOA(K=9),79.22%,42.94,3.73,0.66,,,,,
HERLOA(K=10),72.29%,21.36,2.98,0.33,,,,,
HERLOA(K=11),63.07%,10.39,2.25,0.16,,,,,
HERLOA(K=12),50.77%,4.92,1.46,0.08,,,,,
,,,,,,,,,
CPETA(K=6),92.48%,361.01,5.88,4.97,,,,,
CPETA(K=7),89.98%,180.87,5.17,2.5,,,,,
CPETA(K=8),86.63%,90.06,4.45,1.24,,,,,
CPETA(K=9),82.18%,44.93,3.73,0.62,,,,,
CPETA(K=10),76.24%,22.43,2.98,0.31,,,,,
CPETA(K=11),68.34%,11,2.25,0.15,,,,,
CPETA(K=12),57.80%,5.28,1.46,0.07,,,,,
,,,,,,,,,
ECPETA(K=6),92.48%,325.99,5.18,5.51,1.50E-06,286,,,
ECPETA(K=7),89.98%,163.89,4.45,2.76,1.62E-06,329,,,
ECPETA(K=8),86.63%,81.55,3.73,1.37,1.71E-06,373,,,
ECPETA(K=9),82.18%,40.78,2.98,0.69,1.82E-06,416,,,
ECPETA(K=10),76.24%,20.24,2.25,0.34,1.91E-06,459,,,
ECPETA(K=11),68.34%,10.01,1.47,0.17,2.01E-06,503,,,
ECPETA(K=12),57.80%,4.71,0.64,0.08,2.07E-06,544,,,
,,,,,,,,,
ETAI(K=6),94.34%,709.92,6.57,10.83,,,,,
ETAI(K=7),92.48%,361.01,5.88,5.51,,,,,
ETAI(K=8),89.98%,180.87,5.17,2.76,,,,,
ETAI(K=9),86.63%,90.06,4.45,1.37,,,,,
ETAI(K=10),82.18%,44.93,3.73,0.69,,,,,
ETAI(K=11),76.24%,22.43,2.98,0.34,,,,,
ETAI(K=12),68.34%,11,2.25,0.17,,,,,
,,,,,,,,,
LOA(K=6),94.34%,449.13,5.89,6.85,,,,,
LOA(K=7),92.48%,225.52,5.18,3.44,,,,,
LOA(K=8),89.98%,112.35,4.45,1.71,,,,,
LOA(K=9),86.63%,56.02,3.73,0.85,,,,,
LOA(K=10),82.18%,27.96,2.98,0.43,,,,,
LOA(K=11),76.24%,13.73,2.25,0.21,,,,,
LOA(K=12),68.34%,6.64,1.47,0.1,,,,,
,,,,,,,,,
LOAWA(K=6),94.34%,759.15,6.57,11.58,,,,,
LOAWA(K=7),92.48%,386.06,5.88,5.89,,,,,
LOAWA(K=8),89.98%,193.35,5.17,2.95,,,,,
LOAWA(K=9),86.63%,96.21,4.45,1.47,,,,,
LOAWA(K=10),82.18%,47.91,3.73,0.73,,,,,
LOAWA(K=11),76.24%,23.83,2.98,0.36,,,,,
LOAWA(K=12),68.34%,11.61,2.25,0.18,,,,,
,,,,,,,,,
OLOCA(K=6),99.51%,448.04,5.89,6.84,,,,,
OLOCA(K=7),99.34%,226.7,5.18,3.46,,,,,
OLOCA(K=8),99.12%,116.51,4.45,1.78,,,,,
OLOCA(K=9),98.83%,64.15,3.73,0.98,,,,,
OLOCA(K=10),97.66%,32.08,2.98,0.49,,,,,
OLOCA(K=11),95.31%,15.84,2.25,0.24,,,,,
OLOCA(K=12),90.63%,7.73,1.47,0.12,,,,,
